herb,symptom,indication
U56,C0020429,1
U133,C0031154,0
U903,C0234133,0
U77,C0020429,1
U174,C0151908,0
U696,C0008031,1
U63,C0020429,1
U594,C0010200,1
U795,C0009806,1
U52,C0022346,1
U463,C0030193,1
U584,C0000737,1
U375,C0042963,1
U474,C0085636,0
U380,C0000737,1
U230,C0011991,1
U10,C0029089,0
U106,C0042963,1
U430,C0018681,1
U530,C0022346,1
U982,C1860844,0
U486,C0037317,0
U917,C0751265,0
U510,C0456909,0
U662,C0026838,0
U533,C0037315,0
U826,C0151786,1
U321,C0018681,1
U939,C2931205,0
U558,C0000737,1
U861,C0476273,0
U767,C0237326,1
U183,C0020538,0
U269,C0085636,1
U35,C0030193,1
U175,C1568248,0
U247,C0231835,1
U901,C0009806,1
U120,C0030193,1
U236,C0030193,1
U311,C0427055,0
U711,C0026838,0
U247,C0030193,1
U861,C0020429,1
U183,C2931205,0
U470,C0018681,1
U793,C0026826,0
U475,C0206160,0
U430,C3668816,0
U510,C0023014,0
U162,C0042571,1
U664,C0018989,0
U1033,C1838869,0
U27,C0002103,0
U206,C0010200,1
U420,C0009806,0
U263,C0030193,1
U534,C0020429,1
U45,C0003123,0
U232,C0003862,1
U110,C0030193,1
U342,C0009460,0
U602,C0020429,1
U236,C0011991,1
U1006,C0020796,0
U95,C0030193,1
U682,C0036572,1
U243,C0019214,1
U314,C0030193,1
U361,C0026837,0
U840,C0151825,0
U865,C1384666,0
U503,C0030193,1
U440,C0020429,1
U265,C0042571,1
U91,C0751265,0
U1002,C0003126,0
U911,C0000737,1
U919,C0020429,1
U393,C0030193,1
U570,C0002418,0
U691,C1838869,0
U867,C0018834,1
U442,C0028754,0
U550,C0234378,0
U513,C0086565,0
U91,C0000737,1
U230,C0029089,0
U926,C0018780,0
U602,C0973461,1
U127,C0023380,0
U360,C0020429,1
U765,C0018989,1
U505,C1691779,0
U850,C0456909,0
U3,C0005779,0
U164,C0032285,1
U242,C0020429,1
U286,C0030193,1
U216,C0020429,1
U126,C0011570,0
U384,C0015644,0
U248,C0003578,0
U871,C0013604,1
U346,C0020429,1
U985,C1691779,0
U584,C0042963,1
U89,C0026838,0
U248,C0039070,1
U676,C0020429,1
U235,C0011570,0
U650,C0023530,0
U693,C0030193,1
U172,C0086132,0
U418,C0009806,0
U616,C0751265,0
U76,C0011991,1
U578,C0018681,1
U578,C0020429,1
U857,C0234133,0
U155,C0030193,1
U245,C0023186,0
U305,C0022346,1
U522,C0030193,1
U476,C0086132,1
U730,C0011991,1
U240,C0033774,1
U483,C0014118,0
U180,C0237326,1
U856,C0851578,1
U964,C0015967,0
U630,C0002103,0
U244,C0010200,1
U263,C0013604,1
U610,C0042963,1
U102,C0020429,1
U871,C0206160,0
U994,C0032285,1
U859,C0018780,0
U479,C0014335,0
U693,C0005779,0
U659,C0030193,1
U841,C0542476,1
U195,C0030193,1
U1010,C0000737,1
U20,C0042963,1
U755,C3714756,0
U733,C0270948,0
U336,C0013404,0
U911,C0015230,1
U124,C0043094,0
U399,C0008031,1
U757,C0035078,0
U282,C0241210,0
U954,C0917816,0
U94,C0042024,0
U901,C0009398,0
U516,C0003862,1
U359,C0018681,1
U591,C0016382,0
U779,C0030193,1
U258,C0020429,1
U370,C0010200,1
U752,C0206160,0
U392,C0026837,0
U542,C0040822,0
U292,C0018784,0
U636,C0011991,1
U991,C0086132,0
U58,C0020429,1
U885,C0031154,0
U317,C0028754,0
U647,C0020429,1
U939,C0151786,0
U403,C1145670,0
U214,C3714756,0
U381,C0234132,0
U730,C0003113,0
U26,C0018681,1
U999,C0009806,1
U412,C0231835,1
U423,C0003862,0
U914,C0030193,1
U480,C0005779,0
U1010,C0015967,0
U745,C0037317,0
U54,C0042963,1
U690,C0042384,0
U39,C0015967,1
U117,C0015644,0
U162,C0020429,1
